hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,country,market_segment,customer_type,adr,required_car_parking_spaces,total_of_special_requests,previous_cancellations,deposit_type,agent,company,total_nights,total_guests,lead_time_bucket,customer_segment,predicted_cancel_risk
City Hotel,1,25,2024,February,19,0,3,1,2.0,FRA,Complementary,Transient-Party,145.34,1,2,0,No Deposit,13.0,112.0,3,3.0,8-30 days,Last-Minute Booker - Corporate/Contract,0.4329439717730067
Resort Hotel,0,58,2023,June,9,2,4,2,1.0,ITA,Offline TA/TO,Transient,157.31,0,2,0,No Deposit,1.0,119.0,6,3.0,31-90 days,Last-Minute Booker - Leisure/Transient,0.3293653647936456
City Hotel,0,203,2024,August,4,1,1,2,0.0,USA,Direct,Transient-Party,167.62,1,2,1,No Deposit,4.0,116.0,2,2.0,180+ days,Early Planner - Corporate/Contract,0.5159272352123253
Resort Hotel,1,27,2023,February,14,1,0,2,0.0,DEU,Online TA,Transient,96.26,0,1,0,Non Refund,8.0,111.0,1,2.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.6811837367337106
Resort Hotel,0,1,2024,May,5,0,7,2,1.0,GBR,Online TA,Transient,126.5,0,1,0,No Deposit,6.0,0.0,7,3.0,0-7 days,Last-Minute Booker - Leisure/Transient,0.2698827704621908
City Hotel,1,35,2023,December,25,1,0,1,0.0,GBR,Direct,Transient-Party,62.27,0,0,0,Non Refund,28.0,0.0,1,1.0,31-90 days,Last-Minute Booker - Corporate/Contract,0.6920579603961597
City Hotel,0,47,2024,November,7,1,3,1,0.0,DEU,Direct,Transient,91.69,0,0,0,No Deposit,0.0,115.0,4,1.0,31-90 days,Last-Minute Booker - Leisure/Transient,0.4124908804866669
City Hotel,0,96,2023,June,8,1,1,1,0.0,PRT,Online TA,Contract,76.94,0,0,0,No Deposit,0.0,0.0,2,1.0,91-180 days,Early Planner - Corporate/Contract,0.48093243383781337
Resort Hotel,0,78,2024,March,15,2,0,2,0.0,GBR,Online TA,Transient,100.35,0,0,0,No Deposit,7.0,100.0,2,2.0,31-90 days,Early Planner - Leisure/Transient,0.4689008880369114
Resort Hotel,1,200,2024,December,27,2,1,2,1.0,PRT,Groups,Transient-Party,122.78,1,0,0,No Deposit,5.0,108.0,3,3.0,180+ days,Early Planner - Corporate/Contract,0.7214888992104461
City Hotel,1,91,2023,February,19,0,3,2,0.0,ESP,Online TA,Transient-Party,49.04,0,2,0,No Deposit,22.0,107.0,3,2.0,91-180 days,Early Planner - Corporate/Contract,0.36707329822732426
City Hotel,1,21,2024,November,27,1,0,2,0.0,USA,Online TA,Transient,74.87,0,1,0,No Deposit,9.0,109.0,1,2.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.3070063500138094
Resort Hotel,0,61,2024,June,11,3,4,3,0.0,DEU,Online TA,Transient,172.83,0,1,0,Non Refund,2.0,115.0,7,3.0,31-90 days,Early Planner - Leisure/Transient,0.6046638682516562
City Hotel,0,66,2023,March,20,0,2,2,0.0,PRT,Corporate,Transient-Party,61.82,0,0,0,Non Refund,19.0,0.0,2,2.0,31-90 days,Early Planner - Corporate/Contract,0.5564025506075287
Resort Hotel,1,373,2023,February,23,2,4,4,2.0,PRT,Corporate,Transient,117.23,0,0,0,No Deposit,9.0,110.0,6,6.0,180+ days,Early Planner - Leisure/Transient,0.570612398416199
City Hotel,0,8,2023,January,4,2,1,2,0.0,FRA,Online TA,Transient,84.7,1,1,0,No Deposit,11.0,0.0,3,2.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.25513915996780795
Resort Hotel,1,12,2024,August,18,1,3,2,0.0,PRT,Online TA,Transient-Party,164.13,0,0,0,No Deposit,20.0,0.0,4,2.0,8-30 days,Last-Minute Booker - Corporate/Contract,0.45670076169520807
City Hotel,0,10,2024,January,14,0,3,3,0.0,USA,Offline TA/TO,Transient,40.82,0,0,0,No Deposit,23.0,104.0,3,3.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.3578063780684041
Resort Hotel,1,53,2023,December,26,1,3,3,0.0,USA,Online TA,Transient-Party,123.77,0,0,0,Non Refund,4.0,0.0,4,3.0,31-90 days,Last-Minute Booker - Corporate/Contract,0.7702997565962713
City Hotel,0,8,2024,May,6,1,1,2,0.0,PRT,Online TA,Contract,150.46,1,1,1,No Deposit,2.0,111.0,2,2.0,8-30 days,Last-Minute Booker - Corporate/Contract,0.23110733292331878
City Hotel,0,64,2024,November,25,1,3,2,0.0,IND,Online TA,Transient,69.3,0,2,0,No Deposit,27.0,0.0,4,2.0,31-90 days,Early Planner - Leisure/Transient,0.35850135453100973
Resort Hotel,0,97,2024,June,16,1,1,2,0.0,ESP,Online TA,Transient,160.14,0,0,0,No Deposit,9.0,115.0,2,2.0,91-180 days,Early Planner - Leisure/Transient,0.46192798197200174
City Hotel,1,34,2024,November,18,0,1,1,1.0,PRT,Corporate,Transient,72.94,0,1,0,No Deposit,17.0,118.0,1,2.0,31-90 days,Last-Minute Booker - Leisure/Transient,0.3359644380161172
City Hotel,1,49,2024,December,1,5,4,1,0.0,PRT,Direct,Transient-Party,79.45,0,0,0,No Deposit,26.0,113.0,9,1.0,31-90 days,Last-Minute Booker - Corporate/Contract,0.5327170896064238
City Hotel,0,146,2024,December,8,1,3,1,0.0,PRT,Corporate,Transient,99.78,0,1,0,No Deposit,2.0,0.0,4,1.0,91-180 days,Early Planner - Leisure/Transient,0.4639003351421669
City Hotel,1,50,2023,March,1,0,4,3,0.0,FRA,Offline TA/TO,Transient,126.59,0,1,1,No Deposit,25.0,112.0,4,3.0,31-90 days,Last-Minute Booker - Leisure/Transient,0.4143880852061661
City Hotel,0,14,2024,July,1,1,1,1,0.0,IND,Groups,Transient,167.48,0,0,0,No Deposit,18.0,0.0,2,1.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.32969239016581897
City Hotel,1,25,2024,February,19,3,1,4,0.0,DEU,Groups,Transient,55.25,0,1,0,No Deposit,4.0,111.0,4,4.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.371238904661194
Resort Hotel,0,45,2023,July,21,3,3,4,0.0,USA,Online TA,Transient-Party,135.79,0,0,0,No Deposit,22.0,103.0,6,4.0,31-90 days,Last-Minute Booker - Corporate/Contract,0.46922957808074395
Resort Hotel,0,10,2024,February,28,0,2,2,0.0,IRL,Online TA,Transient,72.76,0,0,0,No Deposit,3.0,101.0,2,2.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.35129883905624665
Resort Hotel,0,56,2024,May,25,1,4,2,0.0,PRT,Corporate,Transient,113.72,0,2,0,No Deposit,11.0,0.0,5,2.0,31-90 days,Last-Minute Booker - Leisure/Transient,0.3020166258785474
Resort Hotel,1,431,2024,July,27,0,4,2,0.0,PRT,Corporate,Transient,186.14,0,0,0,No Deposit,18.0,117.0,4,2.0,180+ days,Early Planner - Leisure/Transient,0.6600317890532651
City Hotel,0,63,2023,November,10,1,3,1,0.0,ITA,Groups,Transient,89.25,0,2,0,Non Refund,22.0,0.0,4,1.0,31-90 days,Early Planner - Leisure/Transient,0.6588376156669955
Resort Hotel,0,27,2023,November,18,1,3,2,1.0,PRT,Direct,Transient,139.8,0,0,0,Non Refund,9.0,102.0,4,3.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.7215399572525177
City Hotel,0,24,2024,March,12,0,3,2,0.0,PRT,Offline TA/TO,Transient,152.42,0,0,0,No Deposit,6.0,110.0,3,2.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.3910111442924907
City Hotel,0,160,2024,November,28,3,2,3,0.0,ESP,Online TA,Transient,90.23,0,1,0,No Deposit,24.0,103.0,5,3.0,91-180 days,Early Planner - Leisure/Transient,0.4808663595850945
Resort Hotel,1,123,2023,April,17,2,2,3,0.0,ITA,Offline TA/TO,Transient-Party,153.31,1,0,0,No Deposit,14.0,118.0,4,3.0,91-180 days,Early Planner - Corporate/Contract,0.6194685973460081
City Hotel,0,38,2024,January,1,0,1,4,0.0,GBR,Complementary,Transient,128.37,0,1,1,No Deposit,7.0,102.0,1,4.0,31-90 days,Last-Minute Booker - Leisure/Transient,0.31073087524612786
Resort Hotel,0,26,2024,March,8,1,3,2,0.0,USA,Groups,Transient-Party,89.98,1,0,1,No Deposit,20.0,106.0,4,2.0,8-30 days,Last-Minute Booker - Corporate/Contract,0.3375142744834564
City Hotel,1,74,2023,September,10,2,3,2,1.0,BRA,Online TA,Transient,147.81,0,0,0,No Deposit,13.0,116.0,5,3.0,31-90 days,Early Planner - Leisure/Transient,0.4548419038107989
Resort Hotel,1,22,2023,October,26,1,4,2,0.0,PRT,Direct,Transient-Party,101.91,0,0,0,No Deposit,20.0,110.0,5,2.0,8-30 days,Last-Minute Booker - Corporate/Contract,0.4732356209923387
City Hotel,0,7,2023,May,10,1,1,2,0.0,GBR,Offline TA/TO,Transient,121.6,0,1,1,No Deposit,26.0,112.0,2,2.0,0-7 days,Last-Minute Booker - Leisure/Transient,0.3133068617692748
City Hotel,0,22,2024,August,18,2,1,2,0.0,PRT,Online TA,Group,107.97,0,0,0,No Deposit,1.0,0.0,3,2.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.39008206372824206
Resort Hotel,0,34,2023,February,9,2,0,1,0.0,USA,Complementary,Transient-Party,146.04,0,0,0,No Deposit,12.0,103.0,2,1.0,31-90 days,Last-Minute Booker - Corporate/Contract,0.44284751115774174
Resort Hotel,0,17,2023,March,25,0,3,4,0.0,PRT,Offline TA/TO,Transient,131.58,0,1,0,No Deposit,12.0,108.0,3,4.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.29198763989876697
City Hotel,0,14,2023,July,2,2,3,1,0.0,GBR,Online TA,Transient,126.67,0,1,0,No Deposit,29.0,0.0,5,1.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.28597144922052176
City Hotel,1,59,2023,April,2,1,1,2,0.0,PRT,Online TA,Group,169.39,0,1,0,No Deposit,22.0,0.0,2,2.0,31-90 days,Last-Minute Booker - Leisure/Transient,0.41980717322728567
City Hotel,0,57,2023,September,6,2,3,3,0.0,DEU,Offline TA/TO,Transient,108.47,0,0,0,No Deposit,14.0,0.0,5,3.0,31-90 days,Last-Minute Booker - Leisure/Transient,0.38028191842764897
Resort Hotel,0,12,2024,July,23,1,3,2,0.0,USA,Online TA,Transient,95.42,0,0,0,No Deposit,15.0,101.0,4,2.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.34937048915532226
City Hotel,1,172,2024,November,12,3,0,2,0.0,GBR,Online TA,Transient,74.18,0,0,0,No Deposit,22.0,104.0,3,2.0,91-180 days,Early Planner - Leisure/Transient,0.6251826731773671
Resort Hotel,0,31,2023,December,22,1,1,2,0.0,GBR,Direct,Transient,188.21,0,0,0,No Deposit,20.0,118.0,2,2.0,31-90 days,Last-Minute Booker - Leisure/Transient,0.3070613033859724
City Hotel,1,1,2023,January,19,1,3,1,0.0,PRT,Direct,Transient,124.66,0,0,0,Non Refund,28.0,0.0,4,1.0,0-7 days,Last-Minute Booker - Leisure/Transient,0.6841599849351792
City Hotel,0,14,2024,April,28,3,0,2,1.0,USA,Direct,Transient,117.44,1,0,1,No Deposit,24.0,0.0,3,3.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.3337976352865583
Resort Hotel,1,70,2023,October,15,0,1,2,0.0,GBR,Corporate,Transient,72.29,0,0,0,Non Refund,5.0,117.0,1,2.0,31-90 days,Early Planner - Leisure/Transient,0.7261043606702698
Resort Hotel,0,13,2023,November,19,0,1,2,0.0,USA,Groups,Transient,87.26,0,1,0,No Deposit,28.0,116.0,1,2.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.2922668617975856
Resort Hotel,0,3,2023,June,12,0,1,1,0.0,ESP,Complementary,Transient-Party,128.23,0,0,0,No Deposit,10.0,105.0,1,1.0,0-7 days,Last-Minute Booker - Corporate/Contract,0.3841284232071338
Resort Hotel,0,57,2023,June,18,0,5,2,0.0,PRT,Offline TA/TO,Transient-Party,154.15,0,0,2,No Deposit,25.0,105.0,5,2.0,31-90 days,Last-Minute Booker - Corporate/Contract,0.46610814958225094
City Hotel,0,43,2024,October,16,2,0,2,0.0,ITA,Online TA,Transient,95.6,0,0,0,No Deposit,2.0,102.0,2,2.0,31-90 days,Last-Minute Booker - Leisure/Transient,0.40160529815480306
City Hotel,1,85,2023,June,2,2,2,1,0.0,DEU,Online TA,Contract,142.28,0,1,0,No Deposit,11.0,114.0,4,1.0,31-90 days,Early Planner - Corporate/Contract,0.39112619169189955
City Hotel,1,88,2024,May,11,1,2,2,1.0,GBR,Direct,Transient,85.88,0,0,0,No Deposit,24.0,118.0,3,3.0,31-90 days,Early Planner - Leisure/Transient,0.48044025795102074
City Hotel,1,193,2023,March,12,1,2,1,0.0,GBR,Complementary,Transient,93.29,1,3,2,No Deposit,0.0,118.0,3,1.0,180+ days,Early Planner - Leisure/Transient,0.655806006366311
Resort Hotel,1,3,2023,February,5,0,3,3,0.0,BRA,Direct,Transient-Party,88.89,0,0,0,Non Refund,13.0,112.0,3,3.0,0-7 days,Last-Minute Booker - Corporate/Contract,0.7575233439286627
City Hotel,0,2,2024,March,27,1,2,2,0.0,DEU,Offline TA/TO,Transient-Party,101.61,0,2,0,Non Refund,8.0,109.0,3,2.0,0-7 days,Last-Minute Booker - Corporate/Contract,0.522827141450627
City Hotel,1,261,2023,September,27,3,1,2,0.0,PRT,Direct,Contract,88.16,0,0,0,No Deposit,29.0,0.0,4,2.0,180+ days,Early Planner - Corporate/Contract,0.6923310085548219
City Hotel,0,62,2024,March,24,0,4,1,0.0,PRT,Offline TA/TO,Transient,104.26,0,0,0,No Deposit,28.0,116.0,4,1.0,31-90 days,Early Planner - Leisure/Transient,0.42936528386583744
City Hotel,1,75,2023,March,6,1,6,2,0.0,BRA,Groups,Transient,111.11,0,1,1,No Deposit,18.0,0.0,7,2.0,31-90 days,Early Planner - Leisure/Transient,0.4168231976923041
City Hotel,0,6,2024,January,25,0,3,3,0.0,FRA,Corporate,Transient-Party,96.5,0,0,0,Refundable,9.0,110.0,3,3.0,0-7 days,Last-Minute Booker - Corporate/Contract,0.3338461167370143
City Hotel,0,4,2023,February,11,0,1,2,0.0,IND,Corporate,Transient,75.35,0,1,0,No Deposit,10.0,104.0,1,2.0,0-7 days,Last-Minute Booker - Leisure/Transient,0.2855051213271414
City Hotel,0,10,2024,November,21,2,4,3,0.0,USA,Offline TA/TO,Transient,113.71,0,2,0,Non Refund,16.0,0.0,6,3.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.4745945967899876
Resort Hotel,1,33,2023,December,10,0,2,4,0.0,USA,Online TA,Transient-Party,157.52,0,0,2,No Deposit,0.0,114.0,2,4.0,31-90 days,Last-Minute Booker - Corporate/Contract,0.5014174444325025
Resort Hotel,0,7,2024,March,4,2,2,2,0.0,PRT,Online TA,Transient,149.27,0,2,0,No Deposit,4.0,115.0,4,2.0,0-7 days,Last-Minute Booker - Leisure/Transient,0.2774579063044506
Resort Hotel,0,35,2023,February,9,0,1,1,0.0,IRL,Online TA,Transient,160.53,0,0,1,No Deposit,12.0,0.0,1,1.0,31-90 days,Last-Minute Booker - Leisure/Transient,0.4568830862953426
City Hotel,0,49,2024,August,12,0,2,2,0.0,DEU,Online TA,Transient,191.83,0,0,0,No Deposit,28.0,109.0,2,2.0,31-90 days,Last-Minute Booker - Leisure/Transient,0.3732336121125211
Resort Hotel,1,0,2023,June,10,0,5,2,0.0,GBR,Groups,Transient,130.92,0,0,0,Non Refund,0.0,0.0,5,2.0,0-7 days,Last-Minute Booker - Leisure/Transient,0.7103821115479639
City Hotel,0,7,2024,July,27,2,3,2,0.0,USA,Online TA,Transient,169.49,1,0,0,No Deposit,2.0,109.0,5,2.0,0-7 days,Last-Minute Booker - Leisure/Transient,0.29702005325334874
City Hotel,0,28,2023,January,14,1,2,2,0.0,GBR,Online TA,Transient,135.57,0,0,0,No Deposit,19.0,113.0,3,2.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.3962895782199646
Resort Hotel,1,3,2023,June,5,1,3,2,0.0,PRT,Offline TA/TO,Transient,216.32,0,2,0,Non Refund,20.0,113.0,4,2.0,0-7 days,Last-Minute Booker - Leisure/Transient,0.4925625273459291
City Hotel,1,8,2024,February,1,0,4,3,0.0,ESP,Offline TA/TO,Contract,59.85,0,0,0,No Deposit,17.0,0.0,4,3.0,8-30 days,Last-Minute Booker - Corporate/Contract,0.46024848782491856
City Hotel,1,15,2023,June,5,2,2,2,0.0,ESP,Groups,Transient,102.25,0,0,0,No Deposit,2.0,0.0,4,2.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.33914736124307926
Resort Hotel,1,33,2023,March,16,1,2,2,2.0,USA,Online TA,Contract,147.93,0,0,0,No Deposit,11.0,101.0,3,4.0,31-90 days,Last-Minute Booker - Corporate/Contract,0.385195647288205
Resort Hotel,0,75,2024,July,5,2,2,2,0.0,IRL,Groups,Transient,209.44,0,0,0,No Deposit,15.0,118.0,4,2.0,31-90 days,Early Planner - Leisure/Transient,0.38271261124459466
Resort Hotel,0,80,2023,September,18,1,2,1,2.0,FRA,Groups,Transient,146.88,0,0,1,Refundable,0.0,0.0,3,3.0,31-90 days,Early Planner - Leisure/Transient,0.4746249772079051
City Hotel,1,115,2024,March,6,0,1,3,0.0,GBR,Offline TA/TO,Transient,132.59,0,0,0,Non Refund,10.0,117.0,1,3.0,91-180 days,Early Planner - Leisure/Transient,0.8207244395990669
City Hotel,1,63,2024,July,21,1,1,1,0.0,PRT,Direct,Transient,121.44,0,0,0,No Deposit,2.0,100.0,2,1.0,31-90 days,Early Planner - Leisure/Transient,0.4469181980036001
City Hotel,0,34,2024,April,28,3,3,1,0.0,PRT,Direct,Transient-Party,104.6,0,0,0,No Deposit,12.0,0.0,6,1.0,31-90 days,Last-Minute Booker - Corporate/Contract,0.4669620744167338
City Hotel,0,64,2024,August,10,1,2,2,0.0,PRT,Direct,Transient,101.13,0,0,0,No Deposit,26.0,0.0,3,2.0,31-90 days,Early Planner - Leisure/Transient,0.44211202964552315
Resort Hotel,1,230,2024,February,15,1,0,1,0.0,FRA,Online TA,Transient-Party,120.41,0,0,0,No Deposit,20.0,100.0,1,1.0,180+ days,Early Planner - Corporate/Contract,0.705833194213926
City Hotel,1,181,2023,August,24,2,5,1,0.0,GBR,Online TA,Transient-Party,109.37,0,0,1,No Deposit,26.0,108.0,7,1.0,180+ days,Early Planner - Corporate/Contract,0.6850171856603423
City Hotel,1,30,2024,September,22,2,4,2,0.0,IND,Groups,Transient,145.92,0,2,0,Non Refund,0.0,104.0,6,2.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.6654761834776711
City Hotel,0,57,2023,August,11,1,1,2,1.0,IND,Offline TA/TO,Contract,105.85,0,0,0,No Deposit,4.0,106.0,2,3.0,31-90 days,Last-Minute Booker - Corporate/Contract,0.39824461592628624
City Hotel,0,132,2023,June,26,0,4,3,0.0,ESP,Groups,Transient-Party,87.58,0,2,1,No Deposit,17.0,109.0,4,3.0,91-180 days,Early Planner - Corporate/Contract,0.4980870810826617
Resort Hotel,0,106,2023,October,28,2,2,3,0.0,DEU,Direct,Group,113.23,0,1,0,No Deposit,21.0,112.0,4,3.0,91-180 days,Early Planner - Leisure/Transient,0.38646455776034394
Resort Hotel,1,39,2024,January,27,0,4,2,1.0,PRT,Online TA,Transient,140.33,0,0,0,Non Refund,14.0,104.0,4,3.0,31-90 days,Last-Minute Booker - Leisure/Transient,0.73632539158162
Resort Hotel,0,18,2024,July,19,1,1,1,1.0,ESP,Online TA,Contract,151.14,0,1,0,No Deposit,15.0,0.0,2,2.0,8-30 days,Last-Minute Booker - Corporate/Contract,0.31872999537344315
City Hotel,1,8,2024,January,25,1,2,2,0.0,USA,Groups,Contract,84.62,0,0,0,No Deposit,3.0,0.0,3,2.0,8-30 days,Last-Minute Booker - Corporate/Contract,0.32246929752790543
City Hotel,1,40,2024,July,13,1,2,4,0.0,GBR,Direct,Transient-Party,148.66,1,1,0,No Deposit,2.0,0.0,3,4.0,31-90 days,Last-Minute Booker - Corporate/Contract,0.46924737328702015
City Hotel,0,76,2023,February,27,1,4,2,0.0,IND,Online TA,Transient,77.68,0,0,0,No Deposit,2.0,104.0,5,2.0,31-90 days,Early Planner - Leisure/Transient,0.43003903497591156
Resort Hotel,0,209,2023,August,27,0,5,2,0.0,IND,Direct,Group,55.95,0,1,0,Refundable,22.0,101.0,5,2.0,180+ days,Early Planner - Leisure/Transient,0.4294307544467016
City Hotel,0,118,2023,February,20,1,3,2,0.0,ITA,Online TA,Group,83.69,0,0,0,No Deposit,4.0,105.0,4,2.0,91-180 days,Early Planner - Leisure/Transient,0.49600773147993105
City Hotel,0,13,2023,March,3,1,1,1,0.0,IND,Complementary,Transient-Party,90.16,1,2,0,Non Refund,12.0,104.0,2,1.0,8-30 days,Last-Minute Booker - Corporate/Contract,0.4293917957185735
Resort Hotel,1,76,2024,December,16,1,3,3,0.0,BRA,Online TA,Transient,134.24,0,0,0,Non Refund,0.0,117.0,4,3.0,31-90 days,Early Planner - Leisure/Transient,0.7701816902364997
Resort Hotel,0,20,2024,March,7,0,3,2,0.0,ESP,Online TA,Contract,116.66,0,0,0,No Deposit,6.0,109.0,3,2.0,8-30 days,Last-Minute Booker - Corporate/Contract,0.3597199211441928
Resort Hotel,1,69,2023,January,12,2,2,1,0.0,USA,Online TA,Transient,104.19,0,0,0,No Deposit,16.0,112.0,4,1.0,31-90 days,Early Planner - Leisure/Transient,0.46371012367000286
City Hotel,0,65,2023,May,15,0,4,1,1.0,BRA,Online TA,Transient,91.16,1,0,0,No Deposit,24.0,117.0,4,2.0,31-90 days,Early Planner - Leisure/Transient,0.378995594844305
Resort Hotel,0,19,2023,May,8,1,2,1,1.0,IND,Offline TA/TO,Group,124.81,0,1,0,No Deposit,8.0,100.0,3,2.0,8-30 days,Last-Minute Booker - Leisure/Transient,0.297538737543788
